data,precipitazioni(mm),temperatura(Â°C)
2018/01/01,6.6,2.6
2018/01/02,0.0,4.9
2018/01/03,0.8,3.4
2018/01/04,0.2,6.1
2018/01/05,1.2,4.7
2018/01/06,9.0,6.8
2018/01/07,0.2,8.1
2018/01/08,0.0,9.5
2018/01/09,21.8,10.0
2018/01/10,0.0,7.6
2018/01/11,0.2,6.1
2018/01/12,0.0,6.5
2018/01/13,0.0,4.5
2018/01/14,0.0,3.1
2018/01/15,0.0,3.8
2018/01/16,0.2,3.7
2018/01/17,0.2,4.8
2018/01/18,0.0,5.6
2018/01/19,0.0,4.3
2018/01/20,0.0,4.3
2018/01/21,0.4,6.8
2018/01/22,0.0,4.7
2018/01/23,0.0,3.6
2018/01/24,0.0,4.1
2018/01/25,3.2,5.3
2018/01/26,1.2,5.4
2018/01/27,0.8,7.7
2018/01/28,0.0,7.3
2018/01/29,0.0,6.3
2018/01/30,0.0,5.0
2018/01/31,0.6,5.8
2018/02/01,10.2,5.6
2018/02/02,14.4,4.9
2018/02/03,0.0,3.8
2018/02/04,0.0,3.6
2018/02/05,0.2,4.0
2018/02/06,4.4,3.3
2018/02/07,0.2,3.9
2018/02/08,0.0,5.3
2018/02/09,0.6,5.6
2018/02/10,0.0,5.6
2018/02/11,0.0,3.5
2018/02/12,0.0,3.7
2018/02/13,0.0,2.1
2018/02/14,0.0,1.6
2018/02/15,0.0,2.0
2018/02/16,0.0,3.3
2018/02/17,0.0,3.9
2018/02/18,1.4,4.1
2018/02/19,0.6,2.9
2018/02/20,0.0,3.7
2018/02/21,0.0,3.6
2018/02/22,2.8,2.6
2018/02/23,3.4,2.3
2018/02/24,0.6,6.0
2018/02/25,0.8,-1.5
2018/02/26,2.4,-3.3
2018/02/27,0.8,-4.0
2018/02/28,0.0,-3.5
2018/03/01,3.6,-2.6
2018/03/02,10.2,-0.1
2018/03/03,4.6,0.6
2018/03/04,0.0,1.7
2018/03/05,0.2,5.3
2018/03/06,1.8,5.2
2018/03/07,18.8,4.1
2018/03/08,0.2,6.3
2018/03/09,0.2,9.0
2018/03/10,2.6,8.3
2018/03/11,50.2,8.1
2018/03/12,8.8,8.5
2018/03/13,0.4,9.6
2018/03/14,0.0,9.7
2018/03/15,21.6,6.6
2018/03/16,1.6,8.9
2018/03/17,34.0,7.3
2018/03/18,11.0,5.9
2018/03/19,5.0,3.2
2018/03/20,11.0,4.3
2018/03/21,3.0,3.8
2018/03/22,0.0,4.5
2018/03/23,0.0,5.5
2018/03/24,0.0,7.5
2018/03/25,0.0,7.1
2018/03/26,0.0,8.0
2018/03/27,0.0,10.3
2018/03/28,0.0,10.3
2018/03/29,3.2,10.1
2018/03/30,7.8,12.2
2018/03/31,1.8,8.9
2018/04/01,0.0,11.6
2018/04/02,0.0,11.1
2018/04/03,8.4,10.0
2018/04/04,17.8,8.8
2018/04/05,0.6,12.4
2018/04/06,0.0,12.8
2018/04/07,0.0,12.7
2018/04/08,0.0,14.0
2018/04/09,5.2,12.0
2018/04/10,12.0,10.3
2018/04/11,10.6,10.0
2018/04/12,29.8,10.9
2018/04/13,7.0,10.4
2018/04/14,0.0,12.9
2018/04/15,0.0,13.9
2018/04/16,0.0,16.7
2018/04/17,0.0,17.2
2018/04/18,0.0,17.6
2018/04/19,0.0,17.7
2018/04/20,0.0,19.4
2018/04/21,0.0,19.8
2018/04/22,0.0,19.2
2018/04/23,0.0,19.0
2018/04/24,0.0,18.8
2018/04/25,0.0,18.9
2018/04/26,0.0,19.1
2018/04/27,0.0,17.8
2018/04/28,0.0,18.5
2018/04/29,7.8,19.2
2018/04/30,6.2,15.3
2018/05/01,2.6,13.4
2018/05/02,5.8,12.0
2018/05/03,2.2,15.5
2018/05/04,6.8,16.4
2018/05/05,0.2,16.9
2018/05/06,1.8,19.7
2018/05/07,1.4,18.3
2018/05/08,11.2,17.4
2018/05/09,17.4,15.4
2018/05/10,0.0,17.2
2018/05/11,1.8,17.2
2018/05/12,0.0,17.8
2018/05/13,14.4,15.5
2018/05/14,18.6,13.0
2018/05/15,0.0,11.5
2018/05/16,4.2,14.9
2018/05/17,2.8,14.7
2018/05/18,0.2,16.3
2018/05/19,0.0,17.6
2018/05/20,33.0,16.6
2018/05/21,2.6,17.5
2018/05/22,1.8,16.2
2018/05/23,3.2,18.1
2018/05/24,0.0,20.1
2018/05/25,0.0,21.8
2018/05/26,0.0,22.8
2018/05/27,2.4,22.3
2018/05/28,4.0,21.0
2018/05/29,21.6,20.7
2018/05/30,0.0,21.5
2018/05/31,0.0,21.4
2018/06/01,0.0,21.3
2018/06/02,0.0,21.9
2018/06/03,0.0,22.3
2018/06/04,4.8,19.9
2018/06/05,0.0,22.0
2018/06/06,0.0,21.6
2018/06/07,52.6,21.7
2018/06/08,8.4,18.4
2018/06/09,0.0,21.7
2018/06/10,0.0,22.6
2018/06/11,0.2,23.6
2018/06/12,6.0,20.8
2018/06/13,1.8,19.2
2018/06/14,0.0,21.4
2018/06/15,0.0,21.7
2018/06/16,0.0,22.5
2018/06/17,0.0,23.0
2018/06/18,6.4,23.1
2018/06/19,0.0,23.8
2018/06/20,0.0,23.6
2018/06/21,0.0,24.8
2018/06/22,0.0,22.0
2018/06/23,0.0,20.1
2018/06/24,0.0,20.1
2018/06/25,0.6,19.8
2018/06/26,0.0,20.8
2018/06/27,0.0,21.2
2018/06/28,0.0,21.5
2018/06/29,0.0,23.7
2018/06/30,0.0,25.5
2018/07/01,0.0,24.9
2018/07/02,0.0,24.5
2018/07/03,11.4,24.7
2018/07/04,0.6,23.5
2018/07/05,13.0,22.7
2018/07/06,3.8,21.7
2018/07/07,0.0,23.5
2018/07/08,0.0,23.9
2018/07/09,0.0,24.7
2018/07/10,4.0,24.2
2018/07/11,2.2,20.9
2018/07/12,0.0,22.0
2018/07/13,3.2,23.5
2018/07/14,0.8,23.8
2018/07/15,0.0,24.3
2018/07/16,9.6,20.6
2018/07/17,0.0,23.1
2018/07/18,0.0,24.9
2018/07/19,0.0,24.7
2018/07/20,2.0,24.4
2018/07/21,35.0,19.5
2018/07/22,0.0,23.0
2018/07/23,7.2,23.9
2018/07/24,0.0,24.7
2018/07/25,0.0,25.6
2018/07/26,16.0,24.8
2018/07/27,1.0,24.3
2018/07/28,0.0,24.5
2018/07/29,0.0,24.5
2018/07/30,0.0,26.8
2018/07/31,0.0,28.2
2018/08/01,3.0,28.2
2018/08/02,0.0,0.0
2018/08/03,0.0,0.0
2018/08/04,0.0,0.0
2018/08/05,0.0,27.4
2018/08/06,0.0,27.8
2018/08/07,0.0,27.5
2018/08/08,0.0,26.3
2018/08/09,0.0,0.0
2018/08/10,0.2,24.4
2018/08/11,0.0,24.4
2018/08/12,0.4,23.2
2018/08/13,0.0,0.0
2018/08/14,0.2,21.5
2018/08/15,0.0,23.1
2018/08/16,0.0,23.4
2018/08/17,0.0,24.5
2018/08/18,0.2,23.5
2018/08/19,0.2,24.6
2018/08/20,0.0,26.3
2018/08/21,0.0,25.8
2018/08/22,0.0,25.9
2018/08/23,0.0,24.8
2018/08/24,0.0,24.8
2018/08/25,0.0,0.0
2018/08/26,0.0,0.0
2018/08/27,0.0,0.0
2018/08/28,0.0,0.0
2018/08/29,0.0,0.0
2018/08/30,0.0,22.7
2018/08/31,84.6,18.2
2018/09/01,13.6,17.1
2018/09/02,0.8,16.6
2018/09/03,0.6,17.1
2018/09/04,0.0,18.9
2018/09/05,0.0,20.5
2018/09/06,0.4,21.2
2018/09/07,2.6,19.7
2018/09/08,0.0,20.7
2018/09/09,0.0,21.1
2018/09/10,0.0,22.1
2018/09/11,0.0,22.9
2018/09/12,0.0,22.9
2018/09/13,1.2,21.4
2018/09/14,0.0,21.9
2018/09/15,0.4,21.1
2018/09/16,0.0,21.7
2018/09/17,0.0,21.6
2018/09/18,0.4,21.4
2018/09/19,0.0,21.1
2018/09/20,0.0,21.7
2018/09/21,0.0,21.6
2018/09/22,0.0,21.8
2018/09/23,0.0,21.9
2018/09/24,0.0,21.5
2018/09/25,0.0,16.3
2018/09/26,0.0,13.4
2018/09/27,0.0,14.1
2018/09/28,0.0,16.7
2018/09/29,0.0,18.0
2018/09/30,0.0,15.2
2018/10/01,12.6,11.7
2018/10/02,0.2,12.3
2018/10/03,0.0,13.3
2018/10/04,0.0,15.1
2018/10/05,0.0,15.3
2018/10/06,0.0,15.7
2018/10/07,0.0,15.7
2018/10/08,0.0,17.7
2018/10/09,0.0,17.2
2018/10/10,0.0,18.0
2018/10/11,2.0,16.4
2018/10/12,0.0,17.2
2018/10/13,0.0,16.1
2018/10/14,0.0,15.7
2018/10/15,0.0,15.4
2018/10/16,0.0,15.1
2018/10/17,0.0,15.4
2018/10/18,0.0,16.0
2018/10/19,0.0,16.1
2018/10/20,0.0,16.3
2018/10/21,0.0,13.8
2018/10/22,0.0,11.9
2018/10/23,0.0,11.9
2018/10/24,0.0,20.7
2018/10/25,0.0,16.2
2018/10/26,0.4,14.6
2018/10/27,41.4,13.6
2018/10/28,30.6,14.3
2018/10/29,69.4,13.9
2018/10/30,0.0,12.1
2018/10/31,1.2,11.7
2018/11/01,13.0,12.0
2018/11/02,9.0,11.6
2018/11/03,1.0,13.3
2018/11/04,2.6,13.9
2018/11/05,26.6,13.4
2018/11/06,4.6,14.1
2018/11/07,34.8,13.0
2018/11/08,3.0,13.2
2018/11/09,0.8,12.9
2018/11/10,0.8,11.0
2018/11/11,13.0,11.3
2018/11/12,0.0,12.8
2018/11/13,0.0,12.8
2018/11/14,0.0,12.0
2018/11/15,0.0,10.6
2018/11/16,0.0,8.8
2018/11/17,0.0,7.0
2018/11/18,0.0,4.3
2018/11/19,0.0,3.4
2018/11/20,1.4,3.6
2018/11/21,1.4,5.2
2018/11/22,0.0,7.7
2018/11/23,9.2,7.4
2018/11/24,11.2,8.6
2018/11/25,0.4,8.2
2018/11/26,0.0,8.2
2018/11/27,0.0,8.3
2018/11/28,0.0,5.9
2018/11/29,0.0,3.7
2018/11/30,0.0,3.0
2018/12/01,0.0,2.7
2018/12/02,0.0,3.8
2018/12/03,1.4,5.8
2018/12/04,0.0,6.2
2018/12/05,0.2,7.3
2018/12/06,0.0,7.2
2018/12/07,2.2,6.6
2018/12/08,3.0,8.8
2018/12/09,0.0,6.4
2018/12/10,0.0,9.7
2018/12/11,0.0,6.7
2018/12/12,0.0,1.5
2018/12/13,0.0,1.6
2018/12/14,0.0,0.1
2018/12/15,0.0,-0.5
2018/12/16,0.0,0.7
2018/12/17,0.0,1.3
2018/12/18,0.0,1.2
2018/12/19,6.8,1.2
2018/12/20,3.2,1.5
2018/12/21,0.2,1.6
2018/12/22,0.0,4.3
2018/12/23,0.2,2.1
2018/12/24,0.0,5.0
2018/12/25,0.0,2.9
2018/12/26,0.0,1.4
2018/12/27,0.0,2.5
2018/12/28,0.0,4.3
2018/12/29,0.0,5.0
2018/12/30,0.0,7.0
2018/12/31,0.0,5.5
2019/01/01,0.0,3.0
2019/01/02,0.0,5.0
2019/01/03,0.0,1.6
2019/01/04,0.0,-0.2
2019/01/05,0.0,1.1
2019/01/06,0.0,5.3
2019/01/07,0.0,3.4
2019/01/08,0.0,2.1
2019/01/09,0.0,4.6
2019/01/10,0.0,3.9
2019/01/11,0.0,2.1
2019/01/12,0.0,0.8
2019/01/13,0.0,1.9
2019/01/14,0.0,9.9
2019/01/15,0.0,5.5
2019/01/16,3.8,6.5
2019/01/17,3.4,5.3
2019/01/18,0.2,4.8
2019/01/19,0.0,2.7
2019/01/20,0.0,0.8
2019/01/21,0.0,1.1
2019/01/22,0.0,0.8
2019/01/23,0.0,0.1
2019/01/24,0.2,1.4
2019/01/25,0.0,1.1
2019/01/26,0.0,1.1
2019/01/27,4.6,0.6
2019/01/28,0.0,2.5
2019/01/29,0.2,1.9
2019/01/30,0.0,2.5
2019/01/31,0.4,1.7
2019/02/01,25.0,0.7
2019/02/02,22.2,3.8
2019/02/03,1.8,4.2
2019/02/04,0.0,4.6
2019/02/05,0.0,3.7
2019/02/06,0.0,4.2
2019/02/07,0.0,3.7
2019/02/08,0.0,5.3
2019/02/09,0.0,5.8
2019/02/10,14.0,5.5
2019/02/11,0.2,7.0
2019/02/12,0.0,5.5
2019/02/13,0.0,4.7
2019/02/14,0.0,6.1
2019/02/15,0.0,7.6
2019/02/16,0.0,7.0
2019/02/17,0.0,7.8
2019/02/18,0.0,7.5
2019/02/19,0.0,6.7
2019/02/20,0.0,5.5
2019/02/21,0.0,7.2
2019/02/22,0.0,10.4
2019/02/23,0.0,5.3
2019/02/24,0.0,3.6
2019/02/25,0.0,7.4
2019/02/26,0.0,10.8
2019/02/27,0.0,13.3
2019/02/28,0.0,10.8
2019/03/01,0.0,9.3
2019/03/02,0.0,9.8
2019/03/03,0.0,10.3
2019/03/04,3.8,6.6
2019/03/05,0.2,8.0
2019/03/06,0.0,9.0
2019/03/07,1.0,11.0
2019/03/08,0.6,11.5
2019/03/09,0.0,10.6
2019/03/10,0.0,10.8
2019/03/11,0.0,11.1
2019/03/12,0.0,8.5
2019/03/13,0.0,6.8
2019/03/14,0.0,8.0
2019/03/15,0.0,12.7
2019/03/16,0.0,13.9
2019/03/17,0.0,10.6
2019/03/18,8.0,9.8
2019/03/19,0.0,7.5
2019/03/20,0.0,7.2
2019/03/21,0.0,7.7
2019/03/22,0.0,10.4
2019/03/23,0.0,12.9
2019/03/24,0.0,14.5
2019/03/25,0.0,14.3
2019/03/26,0.0,9.7
2019/03/27,0.0,8.2
2019/03/28,0.0,8.3
2019/03/29,0.0,10.4
2019/03/30,0.0,11.3
2019/03/31,0.0,12.4
2019/04/01,0.0,13.9
2019/04/02,0.2,14.7
2019/04/03,4.2,10.7
2019/04/04,41.0,8.6
2019/04/05,0.2,8.8
2019/04/06,0.4,9.9
2019/04/07,1.4,9.4
2019/04/08,1.0,11.0
2019/04/09,3.4,12.5
2019/04/10,0.2,11.8
2019/04/11,11.4,10.2
2019/04/12,2.2,11.1
2019/04/13,0.4,9.2
2019/04/14,24.2,6.1
2019/04/15,0.2,10.6
2019/04/16,0.0,12.3
2019/04/17,0.0,13.6
2019/04/18,0.0,14.4
2019/04/19,0.0,14.4
2019/04/20,0.0,15.8
2019/04/21,0.0,16.0
2019/04/22,0.0,14.7
2019/04/23,17.6,12.0
2019/04/24,3.2,14.3
2019/04/25,3.8,13.7
2019/04/26,16.8,12.2
2019/04/27,0.0,13.4
2019/04/28,0.0,12.8
2019/04/29,0.0,10.2
2019/04/30,0.0,14.1
2019/05/01,0.0,15.7
2019/05/02,3.4,14.4
2019/05/03,16.0,11.9
2019/05/04,12.8,11.8
2019/05/05,16.2,8.2
2019/05/06,0.0,10.2
2019/05/07,0.0,11.8
2019/05/08,14.0,10.1
2019/05/09,3.8,12.4
2019/05/10,0.0,15.1
2019/05/11,21.4,13.3
2019/05/12,0.0,11.7
2019/05/13,0.2,13.8
2019/05/14,0.0,11.4
2019/05/15,0.0,9.1
2019/05/16,0.0,12.4
2019/05/17,0.6,14.0
2019/05/18,4.6,12.6
2019/05/19,8.2,12.6
2019/05/20,6.0,12.6
2019/05/21,1.8,15.4
2019/05/22,0.2,16.1
2019/05/23,0.0,18.2
2019/05/24,17.8,17.6
2019/05/25,19.4,15.8
2019/05/26,0.2,17.4
2019/05/27,12.0,14.2
2019/05/28,4.2,15.0
2019/05/29,1.0,14.7
2019/05/30,0.0,16.7
2019/05/31,0.0,18.2
2019/06/01,0.0,19.7
2019/06/02,0.0,21.5
2019/06/03,0.0,23.0
2019/06/04,0.0,23.3
2019/06/05,0.0,23.0
2019/06/06,0.0,20.6
2019/06/07,0.0,20.8
2019/06/08,0.0,22.8
2019/06/09,1.0,22.0
2019/06/10,1.4,23.1
2019/06/11,0.0,22.8
2019/06/12,1.0,21.7
2019/06/13,0.0,20.2
2019/06/14,0.0,23.7
2019/06/15,0.6,23.7
2019/06/16,0.2,23.3
2019/06/17,0.0,24.6
2019/06/18,0.4,25.1
2019/06/19,0.0,25.0
2019/06/20,0.0,23.4
2019/06/21,0.6,23.5
2019/06/22,16.0,19.3
2019/06/23,0.0,22.2
2019/06/24,0.0,24.8
2019/06/25,0.0,26.4
2019/06/26,0.0,27.9
2019/06/27,0.0,30.0
2019/06/28,0.0,29.6
2019/06/29,0.0,27.8
2019/06/30,0.0,27.2
2019/07/01,0.2,26.8
2019/07/02,0.2,27.7
2019/07/03,3.2,25.3
2019/07/04,0.0,24.1
2019/07/05,0.0,26.2
2019/07/06,0.0,26.7
2019/07/07,0.0,27.3
2019/07/08,0.0,26.2
2019/07/09,35.0,22.5
2019/07/10,0.0,21.9
2019/07/11,0.0,22.0
2019/07/12,0.2,23.5
2019/07/13,1.2,23.0
2019/07/14,0.0,22.1
2019/07/15,37.2,17.6
2019/07/16,0.0,21.7
2019/07/17,0.0,23.4
2019/07/18,0.6,22.3
2019/07/19,0.0,23.8
2019/07/20,0.0,24.9
2019/07/21,0.0,26.5
2019/07/22,0.0,27.4
2019/07/23,0.0,28.0
2019/07/24,0.0,29.0
2019/07/25,0.0,29.8
2019/07/26,0.4,28.8
2019/07/27,19.6,22.3
2019/07/28,0.0,22.4
2019/07/29,0.0,25.6
2019/07/30,0.0,25.9
2019/07/31,0.6,25.2
2019/08/01,0.0,25.3
2019/08/02,22.6,21.2
2019/08/03,0.0,22.5
2019/08/04,0.0,23.8
2019/08/05,0.0,25.0
2019/08/06,0.0,24.4
2019/08/07,0.0,21.8
2019/08/08,0.0,23.2
2019/08/09,0.0,25.4
2019/08/10,0.0,26.6
2019/08/11,0.0,27.0
2019/08/12,0.0,24.6
2019/08/13,0.0,22.8
2019/08/14,0.0,22.0
2019/08/15,0.0,21.9
2019/08/16,0.0,21.8
2019/08/17,0.0,22.4
2019/08/18,0.0,24.0
2019/08/19,0.0,24.9
2019/08/20,0.0,24.8
2019/08/21,0.0,24.9
2019/08/22,0.0,22.9
2019/08/23,0.0,22.1
2019/08/24,0.0,24.3
2019/08/25,0.0,24.1
2019/08/26,0.0,23.5
2019/08/27,0.0,24.3
2019/08/28,0.0,23.7
2019/08/29,0.0,24.4
2019/08/30,0.0,25.2
2019/08/31,0.0,23.5
2019/09/01,0.0,24.0
2019/09/02,0.0,22.3
2019/09/03,0.0,21.8
2019/09/04,0.0,20.5
2019/09/05,2.0,20.6
2019/09/06,3.4,17.4
2019/09/07,0.0,17.8
2019/09/08,35.0,15.2
2019/09/09,0.4,16.0
2019/09/10,0.0,17.6
2019/09/11,0.0,18.9
2019/09/12,0.0,20.4
2019/09/13,0.0,21.2
2019/09/14,0.0,21.4
2019/09/15,0.0,21.4
2019/09/16,0.0,22.3
2019/09/17,0.0,22.6
2019/09/18,9.8,21.5
2019/09/19,2.0,17.2
2019/09/20,0.0,15.7
2019/09/21,0.0,15.5
2019/09/22,1.2,15.9
2019/09/23,2.0,15.0
2019/09/24,0.0,16.3
2019/09/25,0.0,17.0
2019/09/26,0.0,18.0
2019/09/27,0.0,18.2
2019/09/28,0.0,19.3
2019/09/29,0.0,19.1
2019/09/30,0.0,19.8
2019/10/01,0.0,19.6
2019/10/02,5.0,18.7
2019/10/03,0.0,15.9
2019/10/04,0.0,12.9
2019/10/05,0.0,14.4
2019/10/06,1.8,14.7
2019/10/07,28.2,14.7
2019/10/08,0.0,13.8
2019/10/09,1.0,13.2
2019/10/10,0.0,14.1
2019/10/11,0.0,14.1
2019/10/12,0.0,13.5
2019/10/13,0.0,14.0
2019/10/14,0.0,15.9
2019/10/15,15.8,16.5
2019/10/16,4.4,13.9
2019/10/17,0.0,14.0
2019/10/18,0.8,14.5
2019/10/19,7.4,15.0
2019/10/20,15.8,16.8
2019/10/21,66.4,16.6
